office_region,current_confirmed_cases,confirmed_deaths,total_confirmed_cases
,,,
Atlanta Field Office,,,
Charleston County Detention Center,0,0,2
Columbia Regional Care Center,0,0,1
Folkston Annex (IHSC),0,0,162
Folkston ICE Processing Center (Main),1,0,510
Irwin County Detention Center,0,0,146
Robert A. Deyton Detention Center,0,0,7
Sheriff Al Cannon Detention Center,0,0,1
Stewart Detention Center,0,4,"1,785"
Baltimore Field Office,,,
Dorchester County Jail,4,0,16
Howard County Detention Center,0,0,2
Worcester County Jail,0,0,2
Boston Field Office,,,
Bristol County Detention Center,0,0,9
Cumberland County Jail,0,0,1
Franklin County House of Corrections,0,0,9
Plymouth County Correctional Facility,0,0,80
Strafford County Corrections,2,0,32
Wyatt Detention Center,0,0,68
Buffalo Field Office,,,
Buffalo (Batavia) Service Processing Center,2,0,246
Chicago Field Office,,,
Boone County Jail,0,0,43
Chase County Detention Facility,0,0,180
Christian County Jail,0,0,1
Clay County Justice Center,0,0,57
Dodge County Jail,0,0,31
Kankakee County Detention Center,0,0,24
Kay County Detention Center,0,0,23
Lincoln County Detention Center,0,0,1
McHenry County Adult Correctional Facility,0,0,45
Montgomery County Jail,0,0,1
Morgan County Detention Center,0,0,3
Pulaski County Detention Center,0,0,118
Dallas Field Office,,,
Bluebonnet Detention Facility,0,0,"1,125"
Eden Detention Center,3,0,266
Johnson County Law Enforcement Center,0,0,4
Moore Detention Center,0,0,103
Prairieland Detention Facility,17,0,806
Rolling Plains Detention Center,0,0,68
Denver Field Office,,,
Aurora Contract Detention Facility,28,0,"1,145"
Detroit Field Office,,,
Butler County Jail,0,0,2
Calhoun County Correctional Center,2,0,69
Chippewa County SSM,0,0,1
Geauga County Jail,1,0,15
Monroe County Detention,0,0,4
Morrow County Correctional Facility,1,0,52
Saint Clair County Jail,3,0,20
Seneca County Jail,0,0,20
El Paso Field Office,,,
Best Western Hotel - El Paso,0,0,359
Cibola County Correctional Center,0,0,44
Comfort Suites - El Paso,0,0,359
El Paso Service Processing Center,7,0,"1,438"
Otero County Processing Center,0,0,993
Torrance County Detention Center,0,0,472
Harlingen Field Office,,,
Coastal Bend Detention Facility,0,0,19
El Valle Detention Facility,27,1,"1,137"
Laredo Processing Center,44,0,400
Port Isabel Detention Center,9,0,"2,123"
Rio Grande Detention Center,65,0,725
Webb County Detention Center (CCA),17,0,466
Houston Field Office,,,
Houston Contract Detention Facility,0,0,"1,410"
IAH Polk Adult Detention Facility,2,0,"1,884"
Joe Corley Detention Center,0,1,899
Limestone County Detention Center,0,0,378
Montgomery Processing Center (Houston),0,0,"1,062"
Los Angeles Field Office,,,
Adelanto ICE Processing Center,0,0,273
Desert View Annex,2,0,68
Miami Field Office,,,
Baker County Detention Center,0,0,37
Broward Transitional Center,0,0,649
Glades County Detention Center,0,1,203
Krome North Service Processing Center,0,0,495
Larkin Behavioral Health Center,0,0,2
San Juan Staging Facility,0,0,5
Wakulla County Jail,0,0,43
Newark Field Office,,,
Elizabeth Detention Center,16,0,216
Essex County Jail,0,0,24
New Orleans Field Office,,,
Adams County Correctional Center,2,1,"1,402"
Alexandria Staging Facility,1,0,530
Allen Parish Detention Center,1,0,63
Catahoula Correctional Center,0,0,119
Central Louisiana ICE Processing Center - Jena,2,0,604
Central Louisiana ICE Processing Center - Olla,0,0,25
Etowah County Jail,0,0,77
Hancock County Jail,0,0,1
Jackson Parish Correctional,3,0,662
Pine Prairie ICE Processing Center,0,0,256
Richwood Correctional Center,3,0,728
River Correctional Center,0,0,152
South Louisiana Correctional Center,0,0,153
Winn Correctional Center,5,1,808
New York City Field Office,,,
Bergen County Jail,0,0,26
Hudson County Jail,0,0,14
Orange County Jail,0,0,30
Philadelphia Field Office,,,
Berks County Residential Center,1,0,26
Cambria County Prison,0,0,15
Clinton County Correctional Facility,2,0,78
Moshannon Valley Processing Center,63,0,214
Pike County Correctional Facility,15,0,63
South Central Regional Jail,0,0,2
York County Prison,0,0,349
Phoenix Field Office,,,
CCA Florence Correctional Center,4,0,674
Eloy Federal Contract Facility,6,0,"1,681"
Florence Correctional Center,0,0,4
Florence Detention Center,0,0,347
La Palma Correctional Facility,0,0,"3,265"
Salt Lake City Field Office,,,
Cache County Jail,0,0,15
Henderson Detention Center,0,0,37
Nevada Southern Detention Center,0,0,31
Nye County Jail,0,0,82
Washington County Jail,0,0,6
San Antonio Field Office,,,
Hotel Ava by Ramada (House of Tranquility),0,0,419
Karnes County Immigration Processing Center,139,0,"3,145"
La Quinta - Pearsall (House of Peace),11,0,252
La Quinta - Wyndham,0,0,259
LaSalle County Regional Detention Center,0,0,11
South Texas Family Residential Center (Dilley),0,0,"2,103"
South Texas ICE Processing Center (Pearsall),32,0,"1,949"
T. Don Hutto Residential Center,0,0,677
San Diego Field Office,,,
Imperial Regional Detention Facility,2,0,721
Otay Mesa Detention Center (San Diego CDF),18,1,"1,309"
San Luis Regional Detention Center,1,0,336
San Francisco Field Office,,,
Golden State Annex Facility,17,0,83
Guam Department of Corrections,0,0,1
Honolulu Federal Detention Center,0,0,4
Mesa Verde ICE Processing Center,1,0,76
Yuba County Jail,0,0,8
Seattle Field Office,,,
Northwest ICE Processing Center (NWIPC),1,0,493
St. Paul Field Office,,,
Douglas County Corrections,0,0,1
Freeborn County Adult Detention Center,0,0,19
Hall County Sheriff,0,0,5
Hardin County Jail,0,0,7
Kandiyoh County Jail,3,0,71
Linn County Jail,0,0,4
Nobles County Jail,0,0,2
Phelps County Jail,0,0,2
Polk County Jail,2,0,20
Pottawattamie County Jail,0,0,6
Sherburne County Jail,0,0,8
Washington D.C. Field Office,,,
Caroline Detention Facility,8,0,179
Immigration Centers of America - Farmville,0,1,340
TOTAL,596,11,"48,538"
